id,subject,catalog_number,code,academic_group,academic_org,career_level,effective_year,level,department,title
180927,CFATH,587,CFATH 587,CFA,CFA,UGRD,2023,Graduate,CFA,CFATH 587
180928,CFATH,415,CFATH 415,CFA,CFA,UGRD,2025,Advanced Undergraduate,CFA,CFATH 415
180929,GMSPA,730,GMSPA 730,MED,GMS,GRAD,2023,Graduate,GMS,GMSPA 730
180930,GMSPS,734,GMSPS 734,MED,GMS,GRAD,2024,Graduate,GMS,GMSPS 734
180931,STHTF,813,STHTF 813,STH,STH,GRAD,2023,Graduate,STH,STHTF 813
180932,SEDWL,548,SEDWL 548,WED,SED,UGRD,2023,Graduate,SED,SEDWL 548
180933,CFAAR,243S,CFAAR 243S,CFA,SUM,UGRD,2023,Undergraduate Upper,SUM,CFAAR 243S
180934,GRSSO,855,GRSSO 855,GRS,GRSSO,GRAD,2023,Graduate,GRSSO,GRSSO 855
180935,CASAR,592,CASAR 592,CAS,CASAR,UGRD,2023,Graduate,CASAR,CASAR 592
180936,METUA,526,METUA 526,MET,MET,UGRD,2023,Graduate,MET,METUA 526
180937,CASEE,328E,CASEE 328E,CAS,SAB,UGRD,2023,Advanced Undergraduate,SAB,CASEE 328E
180938,EOPOR,025S,EOPOR 025S,BU1,EOP,UGRD,2023,Introductory,EOP,EOPOR 025S
180939,SHAHF,210E,SHAHF 210E,SHA,SHA,UGRD,2023,Undergraduate Upper,SHA,SHAHF 210E
180940,HUBRL,401,HUBRL 401,BU1,HUB,UGRD,2023,Advanced Undergraduate,HUB,HUBRL 401
180941,GRSCS,999,GRSCS 999,GRS,GRSCS,GRAD,2023,Graduate,GRSCS,GRSCS 999
180942,METAD,576,METAD 576,MET,MET,UGRD,2023,Graduate,MET,METAD 576
180943,COMFT,455,COMFT 455,COM,COM,UGRD,2023,Advanced Undergraduate,COM,COMFT 455
101743,CASCC,221,CASCC 221,CAS,CASCC,UGRD,2022,Undergraduate Upper,CASCC,CASCC 221
101744,CASCC,222,CASCC 222,CAS,CASCC,UGRD,2022,Undergraduate Upper,CASCC,CASCC 222
101887,CASCH,225,CASCH 225,CAS,CASCH,UGRD,2023,Undergraduate Upper,CASCH,CASCH 225
101937,CASCH,373S,CASCH 373S,CAS,SUM,UGRD,2023,Advanced Undergraduate,SUM,CASCH 373S
101938,CASCH,373,CASCH 373,CAS,CASCH,UGRD,2023,Advanced Undergraduate,CASCH,CASCH 373
107980,CASNE,327,CASNE 327,CAS,CASNE,UGRD,2023,Advanced Undergraduate,CASNE,CASNE 327
107982,CASNE,329,CASNE 329,CAS,CASNE,UGRD,2023,Advanced Undergraduate,CASNE,CASNE 329
107984,CASNE,333,CASNE 333,CAS,CASNE,UGRD,2022,Advanced Undergraduate,CASNE,CASNE 333
107985,CASNE,337,CASNE 337,CAS,CASNE,UGRD,2022,Advanced Undergraduate,CASNE,CASNE 337
108034,CASNE,525,CASNE 525,CAS,CASNE,UGRD,2023,Graduate,CASNE,CASNE 525
108042,CASNE,535,CASNE 535,CAS,CASNE,UGRD,2023,Graduate,CASNE,CASNE 535
108043,CASNE,542,CASNE 542,CAS,CASNE,UGRD,2023,Graduate,CASNE,CASNE 542
108047,CASNE,556,CASNE 556,CAS,CASNE,UGRD,2023,Graduate,CASNE,CASNE 556
108050,CASNE,561,CASNE 561,CAS,CASNE,UGRD,2023,Graduate,CASNE,CASNE 561
108051,CASNE,589,CASNE 589,CAS,CASNE,UGRD,2023,Graduate,CASNE,CASNE 589
124726,ENGBE,503,ENGBE 503,ENG,ENG,UGRD,2022,Graduate,ENG,ENGBE 503
124727,ENGBE,504,ENGBE 504,ENG,ENG,UGRD,2023,Graduate,ENG,ENGBE 504
124741,ENGBE,511,ENGBE 511,ENG,ENG,UGRD,2023,Graduate,ENG,ENGBE 511
124747,ENGBE,515,ENGBE 515,ENG,ENG,UGRD,2022,Graduate,ENG,ENGBE 515
124751,ENGBE,519,ENGBE 519,ENG,ENG,UGRD,2022,Graduate,ENG,ENGBE 519
124775,ENGBE,549,ENGBE 549,ENG,ENG,UGRD,2022,Graduate,ENG,ENGBE 549
124779,ENGBE,556,ENGBE 556,ENG,ENG,UGRD,2023,Graduate,ENG,ENGBE 556
124782,ENGBE,562,ENGBE 562,ENG,ENG,UGRD,2023,Graduate,ENG,ENGBE 562
124784,ENGBE,564,ENGBE 564,ENG,ENG,UGRD,2022,Graduate,ENG,ENGBE 564
124793,ENGBE,570,ENGBE 570,ENG,ENG,UGRD,2022,Graduate,ENG,ENGBE 570
124796,ENGBE,572,ENGBE 572,ENG,ENG,UGRD,2022,Graduate,ENG,ENGBE 572
124809,ENGBE,606,ENGBE 606,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 606
124824,ENGBE,710,ENGBE 710,ENG,ENG,GRAD,2022,Graduate,ENG,ENGBE 710
124844,ENGBE,747,ENGBE 747,ENG,ENG,GRAD,2022,Graduate,ENG,ENGBE 747
124862,ENGBE,791,ENGBE 791,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 791
180944,SEDEC,609,SEDEC 609,WED,SED,GRAD,2023,Graduate,SED,SEDEC 609
180945,SEDEC,560,SEDEC 560,WED,SED,UGRD,2023,Graduate,SED,SEDEC 560
180946,STHMR,703,STHMR 703,STH,STH,GRAD,2022,Graduate,STH,STHMR 703
180947,CFATH,134,CFATH 134,CFA,CFA,UGRD,2024,Undergraduate Lower,CFA,CFATH 134
180948,QSTSI,630,QSTSI 630,QST,QST,GRAD,2023,Graduate,QST,QSTSI 630
180949,ENGXM,358E,ENGXM 358E,ENG,SAB,UGRD,2022,Advanced Undergraduate,SAB,ENGXM 358E
180950,COMCM,586,COMCM 586,COM,COM,UGRD,2023,Graduate,COM,COMCM 586
180951,CFATH,173,CFATH 173,CFA,CFA,UGRD,2023,Undergraduate Lower,CFA,CFATH 173
180952,CFATH,242,CFATH 242,CFA,CFA,UGRD,2025,Undergraduate Upper,CFA,CFATH 242
180953,CASMR,144,CASMR 144,CAS,CASMR,UGRD,2023,Undergraduate Lower,CASMR,CASMR 144
180954,SEDTL,622,SEDTL 622,WED,SED,GRAD,2023,Graduate,SED,SEDTL 622
180955,SEDAP,664,SEDAP 664,WED,SED,GRAD,2023,Graduate,SED,SEDAP 664
180956,SEDAP,765,SEDAP 765,WED,SED,GRAD,2023,Graduate,SED,SEDAP 765
180957,CASCI,200S,CASCI 200S,CAS,SUM,UGRD,2023,Undergraduate Upper,SUM,CASCI 200S
180958,CASBI,331,CASBI 331,CAS,CASBI,UGRD,2023,Advanced Undergraduate,CASBI,CASBI 331
180959,CFATH,257,CFATH 257,CFA,CFA,UGRD,2024,Undergraduate Upper,CFA,CFATH 257
180960,CFATH,292,CFATH 292,CFA,CFA,UGRD,2025,Undergraduate Upper,CFA,CFATH 292
180961,CFATH,307,CFATH 307,CFA,CFA,UGRD,2024,Advanced Undergraduate,CFA,CFATH 307
180962,CFATH,318,CFATH 318,CFA,CFA,UGRD,2025,Advanced Undergraduate,CFA,CFATH 318
180963,CFATH,577,CFATH 577,CFA,CFA,UGRD,2024,Graduate,CFA,CFATH 577
180964,CASCS,599S,CASCS 599S,CAS,SUM,UGRD,2023,Graduate,SUM,CASCS 599S
180965,GMSPS,733,GMSPS 733,MED,GMS,GRAD,2024,Graduate,GMS,GMSPS 733
180966,GMSPS,706,GMSPS 706,MED,GMS,GRAD,2024,Graduate,GMS,GMSPS 706
180967,GMSPS,708,GMSPS 708,MED,GMS,GRAD,2025,Graduate,GMS,GMSPS 708
180968,SEDWL,532,SEDWL 532,WED,SED,UGRD,2023,Graduate,SED,SEDWL 532
180969,SEDWL,555,SEDWL 555,WED,SED,UGRD,2023,Graduate,SED,SEDWL 555
180970,SEDWL,558,SEDWL 558,WED,SED,UGRD,2023,Graduate,SED,SEDWL 558
180971,SEDWL,559,SEDWL 559,WED,SED,UGRD,2023,Graduate,SED,SEDWL 559
